ID Tipo Despesa | Descrição
101 | Dinheiro usado para combustivel
102 | Troca de óleo
103 | Troca da caixa de câmbio
104 | Troca de pneus
105 | IPVA
106 | Multa por excesso de velocidade
107 | Seguro total com cobertura internacional
108 | Pedágio simples na via de acesso à fazenda
109 | Passeio no lava jato
110 | Manutenção preventiva do sistema de rastreamento
111 | Instalação de para-choque reforçado
112 | Carregamento emergencial em posto de rodovia
113 | Taxas de transferência de município
114 | Compra de caixa organizadora e rede de proteção
